name,temperature,luminosity,spectral_type,distance,magnitude
"WD 6557+799",21794,0.00231,"DA2",391.1,16.85
"HIP 24725",4527,33.189995,"K2IV",968.9,8.35
"HD 752874",11320,0.0422,"B4V",317.6,13.26
"HD 698501",18536,6.028702,"B1V",852.8,9.98
"HD 113388",3398,0.00008,"M8V",877.8,22
"HD 114754",5984,0.004083,"G7V",893.5,18.01
"WD 3042+539",14368,0.000503,"DA3",617.2,19.45
"HD 878286",15165,0.770539,"B1V",585.1,11.25
"HIP 20602",4630,564.018047,"K1III",653.5,4.25
"HIP 78883",3129,48.983223,"M2IV",325.5,5.61
"HD 932028",2644,0.000188,"M9V",980.1,21.42
"HD 491619",3533,0.000274,"M2V",612.8,20.26
"HD 106107",13094,0.109903,"B7V",623.7,13.55
"HD 705101",15780,1.781005,"B8V",733.1,10.91
"HD 391069",9132,0.013597,"A0V",564,15.71
"HD 395222",15798,0.55475,"B8V",731.1,12.16
"HD 219586",7406,0.001351,"F2V",836.3,18.96
"HD 643795",9578,0.015388,"A0V",673.3,15.87
"HD 717332",20227,17.473306,"B7IV",839.8,8.77
"HD 758954",31824,31328.146055,"O0Ib",316.9,-1.63
"HD 463443",2828,0.000104,"M3V",405.8,20.37
"HD 475336",23601,127.786359,"B8III",779.4,6.26
"HD 840420",21722,19.386646,"B0IV",833.9,8.58
"HD 823250",24840,556.431257,"B0III",617.5,4.22
"HIP 64069",3995,293.099906,"K8III",185.9,2.56
"HD 388558",9703,0.012976,"A5V",931,16.79
"HD 837912",27766,785.339968,"B0III",551.3,3.75
"WD 4799+520",11917,0.000557,"DA4",969.5,20.34
"HD 934943",23558,190.158457,"B0III",968.7,6.59
"HD 249930",4979,0.000607,"K5V",969.2,20.24
"HD 102413",31657,54182.336937,"O0Ib",918.4,0.43
"HD 458553",7369,0.007023,"F3V",977.2,17.86
"HD 662988",11004,0.069885,"B7V",789.6,14.68
"HD 287109",4648,0.000491,"K5V",562.1,19.3
"HD 246141",4378,0.000319,"K8V",742,20.49
"HD 592379",11744,0.089407,"B2V",834.9,14.4
"HIP 93287",5316,290.531678,"G5III",787.6,5.82
"HD 519257",11292,0.006994,"DA4",939.8,17.38
"HD 502024",5681,0.000664,"G0V",245.2,17.2
"HIP 52948",3709,94.94037,"K4IV",746.6,6.72
"HD 500377",23996,73.646209,"B1IV",384.3,5.44
"HD 332336",21243,25.454169,"B1IV",39.4,1.74
"HIP 100025",4519,307.249523,"K3III",736.8,5.39
"HD 228130",12262,0.021615,"B6V",765.2,16.06
"HD 427896",2550,0.000199,"M6V",231.5,18.3
"HIP 107473",3390,413.944441,"M3III",871.2,5.22
"WD 8761+562",15114,0.000334,"DA3",146,16.66
"HD 552442",25059,328.483982,"B9III",293.4,3.26
"HD 822349",6207,0.000391,"F7V",701.7,19.88
"HD 770047",12456,0.153931,"B7V",226.6,11.18
"HD 268266",4260,0.000596,"K3V",860.6,20.12
"HD 786170",26859,2698.467544,"B4III",213,0.27
"HD 151364",12617,0.033455,"B7V",371,13.86
"WD 7855+354",12130,0.000917,"DA4",506.2,18.25
"HD 149243",17473,6.19406,"B5V",320.9,7.77
"HD 992212",2953,0.000087,"M8V",746.3,21.74
"HIP 67508",4158,89.073842,"K8IV",878.5,7.15
"HD 945161",3669,0.000291,"M4V",469.4,19.45
"HD 731654",3690,0.00019,"M2V",749.5,20.98
"HD 648505",2616,0.000214,"M3V",221.5,18.12
"HIP 60997",3707,37.04138,"K4IV",723.7,7.52
"HIP 31835",4835,988.199816,"K7III",283.7,1.99
"HIP 92885",4059,234.415789,"K6III",842.2,5.95
"HIP 63456",4709,1078.880783,"K0III",227.4,1.45
"HD 233712",4915,0.000217,"K1V",591.8,20.29
"HD 196907",24326,349.004595,"B9III",724,4.99
"WD 5957+623",7583,0.001397,"A9V",794.9,18.96
"HD 633940",13354,0.209579,"B2V",800.4,13.45
"HD 787419",4976,0.000332,"K1V",846.5,20.6
"HD 390452",18267,4.932795,"B2V",944,10.27
"HIP 9735",4974,607.257503,"K5III",375.6,3.1
"TYC 1501-703-1",6058,22302.061844,"F5Ia",844.4,0.94
"HD 353104",32242,27341.946942,"O0Ib",638.7,0.13
"HD 420307",13115,0.244658,"B0V",268.7,10.91
"HD 407802",2855,0.000323,"M8V",881.2,20.63
"HD 549730",7859,0.002224,"A5V",824.3,18.57
"HD 212206",31282,16984.955467,"O9Ia",944.6,1.78
"HD 307493",13084,0.058465,"B9V",840.1,14.78
"WD 2080+810",21485,0.000967,"DA2",933.4,19.61
"HD 738696",2565,0.000092,"M1V",726.3,21.58
"HD 349585",14280,0.698731,"B1V",439.9,10.78
"WD 2033+334",8835,0.000313,"DA5",907.3,20.78
"HD 792233",17891,5.411908,"B3V",804.5,9.93
"HD 724774",4033,0.000463,"K1V",772.3,19.96
"HD 718870",14208,0.178817,"B3V",734.2,13.3
"HD 794093",24047,147.686108,"B3III",523.3,5.55
"WD 3100+918",20129,0.000221,"DA2",249.7,18.31
"HD 820117",16395,0.597464,"B1V",946.6,12.61
"WD 1316+391",24215,0.000334,"DA2",679.7,20.26
"HD 177332",23832,281.478751,"B7III",711.6,5.35
"HD 646647",22236,55.051085,"B7IV",391.5,5.88
"HD 976738",3859,0.000368,"K1V",487.4,19.28
"HD 468325",24190,77.854686,"B4IV",553,6.31
"HD 197249",3323,0.000219,"M9V",692.3,20.47
"WD 6715+224",9792,0.000341,"DA5",379.5,18.78
"HIP 19588",4427,73.014279,"K3IV",997.1,7.7
"HD 805140",4792,0.000118,"K3V",985,22
"HD 377577",32593,79839.21134,"O2Ib",924.9,-0.12
"WD 5823+199",18383,0.000333,"DA2",956.9,20.73
"HD 619961",26793,2083.182067,"B6III",885.1,3.6
"HD 910999",23819,173.540824,"B1III",612.3,5.6
"HIP 62914",5571,339.072472,"G9III",646.2,5.13
"HD 774872",3693,0.000145,"M8V",835.3,21.5
"HD 784810",17802,2.065428,"B0V",838,11.17
"WD 8387+598",12143,0.000839,"DA4",893.4,19.52
"WD 3923+469",9431,0.000285,"DA5",983.7,21.06
"HD 786120",18514,3.488186,"B8V",578.7,9.79
"HD 761028",29027,5402.704619,"B6III",970.9,2.88
"HD 483498",16876,2.474524,"B6V",903,11.14
"HD 623640",6010,0.000993,"F3V",452,18.13
"HD 352228",6556,0.000652,"F7V",903.7,20.02
"WD 1231+213",23897,0.000198,"DA2",848.5,21.23
"HD 176590",6229,0.000624,"F6V",758.5,19.63
"HD 590468",30355,20803.937907,"O4Ib",639.4,0.49
"HD 162712",6094,0.001521,"F8V",406.4,17.45
"HD 756133",25569,470.596845,"B4III",563.3,4.36
"HIP 51077",3537,197.631109,"M1III",817,6.05
"HD 243336",11254,0.035846,"B9V",436,14.04
"HD 930691",29723,1804.100297,"B6III",817.5,3.74
"HD 968920",22488,177.123055,"B1III",420.4,4.95
"HD 335321",9599,0.016457,"A4V",739,16
"HD 620931",23739,271.101664,"B9III",716.8,5.38
"HD 963251",19072,8.675645,"B4V",894.4,9.6
"TYC 4658-740-1",23185,80423.851969,"B6Ia",902.1,-0.12
"HD 729137",2992,0.000139,"M4V",473,20.09
"HIP 8231",4091,68.512179,"K6IV",778.6,7.15
"HIP 37908",3369,59.651021,"M8IV",285.9,5.04
"HD 456899",18214,8.670406,"B2V",916.1,9.8
"HD 108856",19060,14.99595,"B0IV",673.9,8.51
"HD 579437",2876,0.000115,"M4V",958.9,22
"WD 9756+201",8455,0.000762,"DA5",965.5,20.02
"HIP 115450",3070,65.872332,"M4IV",433.3,5.8
"HD 686024",10933,0.058439,"B8V",439.8,13.51
"HD 122682",4463,0.000481,"K7V",933.5,20.51
"HD 515311",9098,0.010162,"A5V",978.5,17.24
"HD 628346",2953,0.000137,"M8V",625.6,20.89
"HD 167899",4144,0.000199,"K8V",687.7,20.77
"HD 546601",7999,0.001699,"A1V",661,18.33
"HD 476493",10846,0.044662,"B4V",740.2,14.85
"HD 123888",29522,19520.561155,"B1Ia",865.4,1.25
"HD 103773",8340,0.007214,"DA6",774.3,17.08
"HD 502453",24182,87.608245,"B5IV",931.5,7.14
"HD 687884",28861,1376.701349,"B5III",940.5,4.09
"HD 777959",19872,23.774433,"B6IV",408,6.88
"HD 850653",3724,0.000357,"K9V",935.6,20.68
"HD 765254",16455,1.148732,"B7V",268.6,9.29
"WD 5495+503",13736,0.001761,"DA3",455,17.45
"HD 958336",8375,0.008294,"DA6",505.7,15.91
"HD 993619",3761,0.000274,"K5V",315.8,18.69
"HD 109233",34580,382181.618924,"O2Ia",957.1,-1.75
"HD 298544",15603,0.196297,"B7V",455.6,12.38
"WD 2600+315",10220,0.001397,"DA4",486.8,17.8
"TYC 3876-392-1",19371,58963.380352,"B4Ib",874.9,0.08
"HD 218881",15272,0.201054,"B9V",494.6,12.44
"HD 526818",31761,8492.614238,"O4III",809,2.04
"HD 661052",8147,0.003531,"DA6",253.8,15.25
"HD 259081",27930,3324.87362,"B5III",388.5,1.45
"WD 8651+766",12911,0.000575,"DA3",700.9,19.58
"HD 909064",30702,9089.187058,"O2III",991.4,2.22
"HD 504041",23199,129.403324,"B8III",760,6.42
"HIP 96305",3953,51.60771,"K9IV",699.6,7.16
"HD 338991",30436,23547.015206,"O6Ib",373.2,-0.83
"HD 755161",19644,17.611567,"B6IV",577.5,7.88
"HD 667414",10728,0.02426,"B1V",592.5,15.19
"HD 227459",5297,0.000914,"G8V",48.7,13.29
"HIP 36250",4334,303.447504,"K5III",862.2,5.57
"WD 5914+577",16701,0.000831,"DA3",633.2,19.05
"HD 775859",5472,0.000312,"G5V",357,18.66
"HD 566180",8009,0.003815,"DA6",822.3,17.74
"HD 398319",2625,0.000393,"M8V",603.1,19.8
"HD 780651",27489,5611.571677,"B1III",639.1,2.07
"HIP 28793",3887,136.552666,"K6III",397.2,4.96
"HD 304393",22821,230.409603,"B4III",867.1,6.19
"HIP 106693",4005,371.256566,"K3III",744.8,5.1
"WD 9327+328",24748,0.000323,"DA2",605.8,20.03
"WD 3919+873",17517,0.000345,"DA2",91,15.83
"HD 702618",33393,105345.071039,"O9Ia",405.8,-2.35
"HD 846250",6527,0.000665,"F5V",834.9,19.75
"HD 210552",25353,823.325696,"B3III",828.9,4.69
"HD 939707",11865,0.045427,"B3V",278.8,12.81
"HD 781389",4765,0.000705,"K1V",887.9,19.76
"WD 2580+814",8669,0.000306,"DA5",321.3,18.48
"HD 223293",7455,0.005783,"F9V",908.7,17.55
"HIP 94463",4537,148.448637,"K7III",870.6,6.44
"HD 531180",19584,12.771108,"B0IV",989.4,9.66
"WD 8892+942",7884,0.001856,"A8V",123.7,14.65
"HD 396070",3268,0.000259,"M7V",711.9,20.37
"TYC 3469-921-1",3107,307223.537391,"M5Ib",955.1,-1.55
"HD 842454",30317,9938.008104,"O6III",731.2,1.44
"HIP 79513",5184,318.154595,"K5III",324.8,3.53
"HD 480868",14257,0.406547,"B2V",644.9,12.43
"HD 464996",23933,63.404374,"B5IV",125.9,3.12
"HD 515120",2507,0.000138,"M9V",972.6,21.7
"HD 981289",13521,0.258145,"B8V",857.1,13.32
"HD 705280",13942,0.19734,"B2V",950.6,13.96
"HD 617366",12938,0.055896,"B7V",872.7,15.12
"HD 260966",5270,0.000615,"G6V",961,20.41
"TYC 3577-392-1",19840,13239.309426,"B8Ib",769.7,1.32
"HD 871344",14453,0.339669,"B9V",836.4,13.3
"TYC 1648-177-1",10841,114583.354267,"B7Ia",384,-2.24
"HD 509307",14310,0.159231,"B4V",682.6,13.31
"HD 393054",12750,0.114856,"B5V",690.4,13.78
"HD 490576",12817,0.155791,"B2V",379.7,12.23
"TYC 2221-895-1",8468,136975.035142,"A3Ib",982.5,-0.65
"HD 630285",2505,0.000134,"M3V",837.5,21.56
"HD 995592",34540,485955.605472,"O4Ib",999.3,-2.04
"HD 995724",8177,0.011969,"A3V",285.1,14.41
"HD 902892",8386,0.003428,"DA6",609.5,17.32
"WD 3090+797",6360,0.000741,"F6V",187.4,16.43
"HD 696383",5042,0.000566,"K2V",824.7,20.05
"HD 802369",2833,0.000322,"M0V",550.9,19.63
"WD 2761+672",7932,0.000341,"A3V",387.3,18.83
"HD 518821",3401,0.000113,"M5V",524.3,20.62
"HD 790858",2523,0.000174,"M3V",353.9,19.47
"HD 848128",20252,35.700686,"B1IV",453.5,6.53
"HD 457152",3614,0.00014,"M2V",635.6,20.77
"HD 193625",32571,89409.863442,"O2Ia",566.6,-1.46
"WD 7286+846",18638,0.000729,"DA2",305.8,17.58
"HD 595324",9445,0.02494,"A7V",733.8,15.69
"HD 275735",11700,0.063264,"B0V",667.1,14.64
"HD 514655",18403,11.461982,"B0IV",709.1,8.9
"HIP 81029",3638,139.115919,"M5III",812.1,6.57
"HD 141623",23747,244.900924,"B8III",740.5,5.61
"WD 5467+565",15406,0.000864,"DA3",821.9,19.46
"HD 343851",17461,6.714324,"B5V",675.3,9.29
"WD 1913+575",20629,0.000213,"DA2",847.5,21.03
"TYC 1406-249-1",9881,42159.027983,"A1Ib",941.9,0.55
"HD 880919",5308,0.000614,"G4V",825,19.81
"WD 1056+472",17595,0.000681,"DA2",169.6,16.26
"HD 736819",3644,0.000589,"M3V",332.8,17.93
"HD 796510",15158,0.319461,"B9V",562.4,12.32
"HD 575669",2515,0.0001,"M6V",190.1,18.68
"HD 461400",19010,14.40896,"B1IV",572.6,8.13
"HD 601830",2624,0.000231,"M5V",951.3,21.29
"HIP 67080",3000,38.111322,"M6IV",414.3,6.45
"HD 256399",7481,0.007013,"F2V",665.9,16.84
"HIP 53397",4770,217.50741,"K7III",745.3,5.85
"HD 929187",3325,0.000516,"M3V",975,20.3
"HD 599115",3818,0.000117,"K3V",417.4,20.01
"HIP 7686",4145,387.00894,"K5III",341,3.41
"WD 8347+595",8077,0.000419,"DA6",628.2,19.75
"HD 188730",27946,1742.779846,"B8III",716.6,3.51
"HD 947497",20353,16.004991,"B8IV",141.4,4.79
"WD 4855+113",10842,0.000726,"DA4",896.3,19.82
"HD 538690",5877,0.001422,"G9V",851.4,19.05
"HD 709049",2623,0.00012,"M3V",325.4,19.61
"HD 735243",16788,1.735447,"B7V",589.9,10.59
"HD 433289",12728,0.11075,"B7V",845.3,14.33
"WD 6761+936",11889,0.001194,"DA4",619.6,18.55
"HD 114531",14220,0.442508,"B3V",959.8,13.11
"HD 527680",5566,0.000476,"G0V",69.6,14.8
"HD 160229",22813,59.149786,"B0IV",885.5,7.33
"HD 834374",3571,0.000169,"M5V",471.4,19.82
"HD 362030",13190,0.07883,"B8V",942.6,15.12
"HD 857036",9477,0.010028,"A7V",980.4,17.13
"HD 298587",30594,52441.227834,"O4Ib",379.8,-1.78
"HD 769944",3882,0.000355,"K4V",930.5,20.74
"HIP 87283",3754,1238.857417,"K8III",917.8,4.33
"HIP 118501",3707,208.729698,"K4III",451.6,4.79
"HD 114239",6233,0.003748,"F4V",531.8,17.21
"HD 418671",2548,0.000098,"M1V",958.8,22
"HD 970709",9736,0.006937,"DA5",926.5,17.47
"HIP 79454",4455,322.707142,"K1III",941.9,5.94
"HD 216786",32962,20855.332008,"O1Ia",965.7,1.43
"HD 748421",24052,729.036812,"B5III",410.4,3.24
"HD 326167",29981,20304.829194,"B7Ib",548.7,0.21
"WD 8047+912",22363,0.000275,"DA2",374.4,18.99
"HD 690493",28660,2146.600873,"B5III",585.4,2.8
"HD 555363",10336,0.009127,"DA4",842.9,16.98
"WD 4748+799",19441,0.001377,"DA2",572.5,18.3
"TYC 7489-862-1",3611,24947.794145,"M5Ia",734.6,0.67
"TYC 2217-150-1",5578,229582.143946,"G4Ia",727.4,-1.66
"HD 583227",8705,0.010066,"A0V",787.1,16.65
"HD 611577",4940,0.000625,"K0V",613.4,19.2
"HD 942115",2688,0.000062,"M9V",803.2,22
"HIP 30159",5370,43.079306,"G3IV",221.4,4.96
"HIP 17863",3778,296.936323,"K3III",834.1,5.63
"HD 689779",6986,0.004681,"F0V",707,17.18
"HD 120739",20352,18.542621,"B8IV",682.5,8.46
"HD 923354",10306,0.03958,"B9V",721.2,15.11
"HD 708142",32957,37625.299546,"O8Ia",908,0.68
"HD 350087",5900,0.000966,"G3V",374.9,17.79
"HD 286491",9990,0.014784,"A9V",904,16.68
"HIP 81353",4486,113.822292,"K0III",989.4,7.12
"HD 109131",22665,62.077315,"B5IV",381.8,5.69
"HD 767584",8078,0.002761,"DA6",942.3,18.52
"HD 137716",2530,0.00007,"M9V",428.9,20.79
"HD 381282",18194,4.22085,"B3V",994.4,10.73
"WD 6919+545",12731,0.002496,"DA3",993.3,18.89
"HIP 53418",4302,81.604133,"K5IV",628.6,6.43
"HD 928204",11933,0.085172,"B6V",914.8,14.86
"HD 147044",20384,9.683605,"B8V",625.3,8.74
"HD 658214",9000,0.022539,"A2V",960.8,16.28
"HD 291284",30476,4110.50319,"O7III",896.3,3.13
"WD 7459+465",16071,0.000353,"DA3",933.1,20.7
"HD 936991",9617,0.008272,"DA5",708.9,16.64
"HD 778997",24779,183.974667,"B9III",566.9,5.42
"HIP 77024",4242,743.861447,"K3III",604.8,4
"HD 667787",4152,0.000339,"K3V",924.8,20.85
"HD 706481",23336,57.368077,"B7IV",620.4,6.86
"HD 457811",3122,0.000321,"M2V",172.9,17.4
"HIP 67316",4580,107.22199,"K1III",469.4,5.45
"HD 779536",12606,0.034042,"B1V",960.6,15.77
"HIP 115518",3918,197.14493,"K6III",404.6,4.69
"HD 200429",9142,0.005623,"DA5",958.3,17.75
"HD 563401",31846,70270.126514,"O7Ia",393.8,-1.68
"HD 516225",8433,0.003633,"DA5",986.9,18.29
"HD 555394",25122,520.266635,"B9III",181.3,1.84
"HD 888041",32612,184431.904533,"O6Ib",907.3,-0.87
"HD 722101",25865,452.720565,"B7III",754.1,5.04
"WD 1228+326",15725,0.000162,"DA3",859.9,21.4
"HD 215141",10113,0.016086,"B4V",468.9,15.25
"HD 686832",2894,0.00014,"M0V",794.6,21.4
"HD 223750",6341,0.000509,"F6V",817.9,20.15
"HD 895314",2508,0.000106,"M7V",575.8,20.94
"WD 8429+492",18372,0.000121,"DA2",236.8,19.13
"HD 692243",26860,2237.344617,"B8III",196.6,0.33
"TYC 9803-333-1",6975,872340.508905,"F8Ia",990.9,-2.54
"HIP 53761",5187,126.524808,"K8III",649.8,6.09
"HD 629571",15859,0.372827,"B0V",786.5,12.87
"HD 703909",2688,0.000181,"M7V",719.5,20.71
"HD 517713",4523,0.000356,"K8V",196.9,17.31
"HD 629665",4369,0.000321,"K7V",557.5,19.88
"HD 567405",34136,291906.712885,"O6Ib",450.8,-3
"HIP 73500",4442,366.781827,"K1III",819,5.45
"HD 848569",6662,0.001707,"F1V",849.3,18.85
"HD 254312",3850,0.000091,"K9V",741.3,21.62
"HD 878410",4366,0.000288,"K5V",577.5,19.87
"WD 5945+341",17824,0.000708,"DA2",917.7,19.85
"HD 706933",29616,18729.948289,"B6Ia",721.2,0.95
"HD 961536",26580,676.980406,"B5III",712.4,4.56
"HD 553207",9612,0.017261,"A7V",724.3,16.02
"HD 205715",6664,0.002215,"F7V",769.2,18.44
"WD 7637+172",21985,0.00125,"DA2",906,19.29
"HD 877813",16249,1.425704,"B0V",921.3,11.78
"HD 349909",23923,217.125189,"B6III",637.2,5.57
"HD 737913",7898,0.020866,"A1V",313.4,13.93
"HD 942317",30137,11647.083904,"O8Ib",965.4,2.07
"HD 844969",2779,0.000359,"M2V",989.9,20.78
"WD 2578+890",10704,0.000085,"DA4",339.1,20.15
"HD 562393",13089,0.13269,"B5V",917.6,14.28
"WD 8173+275",20974,0.00032,"DA2",878.3,20.7
"WD 3460+700",6455,0.0003,"F9V",783.1,20.65
"HD 151375",4073,0.000282,"K0V",983.3,21.12
"HD 635129",28338,3678.428516,"B1III",83.8,-2
"HD 917480",24847,224.733012,"B2III",671.8,5.48
"HIP 94129",4422,112.33721,"K7III",395,5
"HD 849371",10494,0.008194,"DA4",385.9,15.45
"HD 965814",19683,12.916856,"B2IV",472.3,7.69
"HD 591349",7144,0.001587,"F5V",383,17.12
"HD 337466",4484,0.000351,"K4V",407.8,18.77
"HD 431952",2502,0.000063,"M7V",806.8,22
"WD 2246+542",9938,0.002933,"DA5",912.3,18.19
"HD 493602",6623,0.00129,"F7V",593.1,18.44
"HD 648699",3146,0.000147,"M0V",565.6,20.71
"HD 691969",11034,0.031659,"B9V",489.2,14.5
"HIP 25029",4248,214.132951,"K8III",766.8,5.64
"HD 920332",16630,2.401427,"B5V",339.7,8.92
"HD 563554",28298,3701.16812,"B1III",903,3.13
"HD 669968",14439,1.175557,"B1V",755.1,11.65
"HD 620827",14337,0.39106,"B4V",262.1,10.42
"HD 654530",7541,0.00243,"A9V",937.4,18.79
"HIP 38026",5185,37.507282,"K3IV",260.6,5.24
"HD 492535",3330,0.000132,"M4V",561.3,20.63
"HIP 26052",4278,311.711418,"K3III",852.4,5.83
"HD 664486",5145,0.000381,"K8V",921,20.63
"HD 690154",10760,0.01789,"B7V",773.2,16.13
"HD 358193",33990,125635.838181,"O2Ib",908.3,-0.78
"HD 336740",18397,3.42481,"B4V",547.1,9.67
"HD 274173",16862,0.648125,"B1V",949.9,12.73
"HD 990714",21543,42.4171,"B1IV",940.4,8.15
"HD 278853",2853,0.000131,"M2V",425,20.05
"HD 635520",5267,0.000563,"G9V",700.7,19.71
"HIP 31532",4670,124.169905,"K5III",924.3,6.82
"HD 790242",3447,0.000358,"M5V",572.1,19.55
"HD 521077",4017,0.000239,"K9V",892,20.99
"HD 171803",12135,0.067499,"B4V",907,14.87
"WD 9202+902",19785,0.000209,"DA2",815.3,20.9
"WD 9719+357",17949,0.000407,"DA2",726.6,19.93
"HD 748974",4035,0.000196,"K9V",633.6,20.48
"HD 101273",20066,15.210669,"B1IV",527.4,7.97
"HD 807533",29410,2444.041747,"B1III",960.1,3.67
"HD 598463",13372,0.33383,"B1V",981,13.33
"HD 848373",15100,0.795785,"B9V",959.5,12.35
"HIP 89093",3424,100.560496,"M6III",929.2,7.09
"HD 631325",17720,7.084112,"B4V",789.2,9.5
"HD 488480",3489,0.000093,"M9V",959.2,22
"HD 872171",32060,37485.486925,"O9Ib",919.9,0.64
"HD 267122",3185,0.000059,"M0V",192.6,19.26
"HD 858519",6586,0.000539,"F2V",131.5,16.11
"HIP 102791",3735,205.827892,"K6III",521.8,5.1
"HD 169152",10031,0.010885,"B3V",596.1,16.16
"HIP 34849",4362,210.02304,"K6III",984,6.42
"HD 140107",3777,0.000209,"K8V",109.4,16.78
"HIP 83763",4351,76.835592,"K6IV",666.6,6.59
"HD 903600",14084,0.443476,"B8V",871.8,12.89
"HD 901223",7195,0.004474,"F3V",796.9,17.54
"HIP 60718",5029,104.450518,"K1III",790.9,6.81
"HD 420612",12946,0.136139,"B1V",82.4,8.87
"HD 125402",2535,0.00006,"M6V",554.8,21.48
"HD 798514",17856,5.924636,"B6V",607.8,9.36
"HD 561953",11551,0.023744,"B0V",983.2,16.32
"HD 588972",7224,0.002637,"F8V",893.1,18.25
"HD 439384",2521,0.000099,"M2V",235.6,19.28
"HD 173937",10120,0.021136,"B7V",821.1,16
"WD 9402+787",8868,0.000784,"DA5",933.7,19.72
"HD 621327",3088,0.000167,"M2V",821.5,21.39
"HD 845684",5974,0.000956,"G0V",853.7,19.63
"HD 210465",15881,0.553792,"B6V",782.8,12.36
"HD 360682",2575,0.000071,"M4V",956.9,22
"HD 531344",12282,0.038311,"B0V",614.9,14.7
"HD 555127",12409,0.08608,"B4V",568.2,13.7
"HD 653235",12964,0.055824,"B4V",457,13.81
"WD 4653+552",14403,0.000216,"DA3",228.3,18.23
"HD 315410",6238,0.000392,"F8V",875.9,20.5
"HIP 118162",3555,48.751943,"M1IV",772.2,7.43
"HD 920553",34110,249445.075953,"O1Ib",414.8,-3
"HD 189298",20915,35.578381,"B2IV",779.7,7.84
"WD 3904+640",7015,0.000957,"F4V",375.2,17.62
"HIP 20907",4661,388.805081,"K3III",897.4,5.46
"HD 261476",13097,0.139879,"B1V",638.7,13.12
"HD 167899",14246,0.147257,"B5V",708.7,13.79
"TYC 9615-409-1",6218,44451.88705,"F6Ia",528.9,-0.67
"HD 611662",24486,184.047992,"B5III",882.8,6.36
"HD 750365",22967,189.353857,"B2III",114.3,1.77
"HD 494492",2501,0.000166,"M6V",564.9,20.52
"HD 790000",8117,0.008602,"DA6",837.6,16.98
"HD 150033",8014,0.002348,"DA6",421.9,17.06
"HD 637914",4260,0.00011,"K4V",841.9,21.98
"HD 481761",4506,0.000301,"K2V",572.5,19.66
"HD 384176",28120,1037.587816,"B8III",957.2,4.5
"HIP 23821",3857,156.632998,"K7III",929.2,6.6
"HD 144895",4899,0.000487,"K8V",854.4,20.23
"WD 9958+800",23739,0.00053,"DA2",769.8,19.94
"HD 728776",7446,0.001604,"F5V",977.5,19.15
"HIP 115187",4027,259.763271,"K1III",299,3.57
"WD 5664+884",23380,0.000172,"DA2",811.1,21.28
"WD 6712+498",16303,0.00272,"DA3",356.8,16.41
"HD 131871",20574,35.177071,"B2IV",396.6,6.33
"HIP 99351",3915,435.193862,"K9III",654.4,4.83
"HD 630318",15222,0.30711,"B9V",370.4,11.52
"HD 255355",31340,19717.587504,"O9Ib",376.6,-0.59
"HD 647943",20128,14.360233,"B3IV",385.1,7.31
"HD 483040",3909,0.00042,"K1V",612,19.71
"HD 161559",8714,0.007385,"DA5",661.5,16.73
"HD 592218",33325,50194.051915,"O6Ia",509.2,-1.08
"HD 249897",4687,0.000356,"K8V",656.8,20.01
"WD 3505+896",17073,0.00092,"DA2",663.4,18.84
"HIP 81969",4950,50.858851,"K8IV",561.8,6.6
"HD 719519",20368,9.58208,"B7V",919.1,9.67
"WD 1529+371",19615,0.000248,"DA2",224.8,17.88
"HD 120114",24183,203.665827,"B5III",996.2,6.4
"WD 6173+493",15622,0.00068,"DA3",276.4,17.44
"TYC 7738-195-1",24716,62152.893617,"B5Ib",862.1,-0.12
"HD 173701",23413,142.376342,"B7III",326.2,4.64
"HD 656227",20521,32.470228,"B3IV",720.3,7.85
"HD 157842",29571,11452.363912,"B0Ib",826.2,1.72
"HD 167735",21049,8.051289,"B1V",912.3,9.74
"HD 768120",29396,9680.342513,"B4III",401.3,0.18
"HD 940200",2837,0.000067,"M8V",616.8,21.78
"HD 635216",3425,0.000134,"M0V",745,21.28
"HD 234090",27420,2482.593182,"B8III",820.4,3.33
"HD 933967",21125,43.894778,"B7IV",71.5,2.37
"HD 194893",22607,54.714657,"B5IV",670.9,7.16
"HD 517348",3031,0.0001,"M6V",151,17.87
"HD 113071",28895,4489.207096,"B8III",521.1,1.77
"HD 748232",10394,0.016845,"B4V",990.9,16.7
"HIP 80690",4061,281.823078,"K2III",656.4,5.25
"HD 483231",2500,0.000074,"M9V",786.7,22
"HD 634011",10494,0.025324,"B6V",998.1,16.2
"HD 416841",2774,0.000054,"M2V",907.1,22
"HD 216608",16596,1.094411,"B6V",363.2,10.01
"WD 9918+498",23078,0.000768,"DA2",705.4,19.29
"HD 348683",8703,0.01493,"A7V",75.5,11.28
"HD 984607",3834,0.000547,"K0V",453.1,18.46
"HD 924728",3125,0.000294,"M2V",545.9,19.81
"HD 144540",27877,1372.843313,"B8III",876.9,4.19
"HIP 105085",4337,108.857605,"K3III",371.5,5.09
"HD 694641",3323,0.000285,"M0V",837.6,20.7
"HD 863656",5501,0.001025,"G9V",696.4,19.13
"HD 214536",31022,24344.478009,"O6Ia",933.9,0.93
"HD 399922",3149,0.000159,"M0V",248,18.79
"WD 6751+780",9887,0.000505,"DA5",927.6,20.14
"HD 467396",3970,0.000676,"K9V",827.2,19.86
"HD 892561",3113,0.000442,"M0V",863.9,20.26
"HD 610787",3918,0.000485,"K7V",660.9,19.53
"HD 248891",8814,0.005784,"DA5",976.9,17.75
